Gene	C42B_siZFX_rep1	C42B_siZFX_rep2	C42B_siZFX_rep3	C42B_siCtrl_rep1	C42B_siCtrl_rep2	C42B_siCtrl_rep3
5S_rRNA	nan	nan	nan	nan	nan	nan
7SK	nan	nan	nan	nan	nan	nan
AC004112.7	nan	nan	nan	nan	nan	nan
AC004125.3	nan	nan	nan	nan	nan	nan
AC004129.7	nan	nan	nan	nan	nan	nan
AC004129.9	nan	nan	nan	nan	nan	nan
AC004156.3	0.291385	0.192728	0.326378	0.337105	0.311883	0.335789
AC004158.2	0.508641	0.65058	0.543368	0.866497	1.02579	0.98446
AC004158.3	nan	nan	nan	nan	nan	nan
AC004159.1	nan	nan	nan	nan	nan	nan
AC004160.4	nan	nan	nan	nan	nan	nan
AC004166.6	1.27856	0.836066	1.33984	1.20081	1.07272	1.00694
AC004221.2	nan	nan	nan	nan	nan	nan
AC004231.2	nan	nan	nan	nan	nan	nan
AC004237.1	nan	nan	nan	nan	nan	nan
AC004257.1	nan	nan	nan	nan	nan	nan
AC004257.3	0.291385	0.556769	0.571161	0.674209	0.566009	0.485029
AC004381.6	41.1874	43.7868	41.9718	31.531	31.7991	31.4734
AC004381.7	nan	nan	nan	nan	nan	nan
AC004383.3	nan	nan	nan	nan	nan	nan
AC004386.3	nan	nan	nan	nan	nan	nan
AC004386.4	nan	nan	nan	nan	nan	nan
AC004410.3	nan	nan	nan	nan	nan	nan
AC004447.2	17.4298	20.2833	19.996	22.4814	21.3097	21.3532
AC004448.2	nan	nan	nan	nan	nan	nan
AC004448.5	nan	nan	nan	nan	nan	nan
AC004449.6	0.124879	0.235556	0.130551	0.337105	0.138614	0.18655
AC004453.8	5.90864	4.90769	7.72704	3.73748	3.87588	4.90271
AC004458.1	nan	nan	nan	nan	nan	nan
AC004460.1	nan	nan	nan	nan	nan	nan
AC004461.4	nan	nan	nan	nan	nan	nan
AC004463.6	1.74831	2.03435	2.17041	1.75294	2.20628	2.08936
AC004466.1	1.05652	0.939037	0.955356	0.858962	1.04212	0.624253
AC004471.10	0.541945	0.34654	0.31252	0.153558	0.227266	0.190806
AC004471.9	0.0832529	0.128485	0.0529268	0.235973	0.133949	0.0926822
AC004485.3	nan	nan	nan	nan	nan	nan
AC004490.1	0.16719	0.171908	0.164512	0.169536	0.209007	0.186877
AC004492.1	nan	nan	nan	nan	nan	nan
AC004510.3	nan	nan	nan	nan	nan	nan
AC004520.1	nan	nan	nan	nan	nan	nan
AC004528.1	nan	nan	nan	nan	nan	nan
AC004528.4	nan	nan	nan	nan	nan	nan
AC004535.2	nan	nan	nan	nan	nan	nan
AC004538.3	0.124879	0.149899	0.148229	0.101131	0.150166	0.0373099
AC004540.4	nan	nan	nan	nan	nan	nan
AC004540.5	0.333012	0.25697	0.179508	1.01131	0.704624	0.596959
AC004543.1	nan	nan	nan	nan	nan	nan
AC004543.2	nan	nan	nan	nan	nan	nan
AC004549.6	nan	nan	nan	nan	nan	nan
AC004552.1	nan	nan	nan	nan	nan	nan
AC004562.1	nan	nan	nan	nan	nan	nan
AC004593.3	nan	nan	nan	nan	nan	nan
AC004595.1	nan	nan	nan	nan	nan	nan
AC004603.4	nan	nan	nan	nan	nan	nan
AC004609.1	nan	nan	nan	nan	nan	nan
AC004623.2	nan	nan	nan	nan	nan	nan
AC004637.1	nan	nan	nan	nan	nan	nan
AC004655.1	nan	nan	nan	nan	nan	nan
AC004656.1	nan	nan	nan	nan	nan	nan
AC004673.1	nan	nan	nan	nan	nan	nan
AC004691.5	nan	nan	nan	nan	nan	nan
AC004692.4	nan	nan	nan	nan	nan	nan
AC004692.5	nan	nan	nan	nan	nan	nan
AC004699.1	nan	nan	nan	nan	nan	nan
AC004702.2	nan	nan	nan	nan	nan	nan
AC004706.1	0.0580009	0.0563451	0.359311	0.176444	0.107956	0.55912
AC004744.3	nan	nan	nan	nan	nan	nan
AC004745.1	nan	nan	nan	nan	nan	nan
